otel_adi,yorum,hizmet,tarih,puan
Green Bay Resort & Spa Bodrum,"öncelikle şunu belirtiyim bu otel sözde 5 yıldızlı özde ise 3 yıldızı bile zor alacak bir otel.
herkes ona göre planını yapsın beklentisini ayarlasın, bir çok kez 5 yıldızlı … Devamı",,Google üzerinde bir ay önce,1/5
Green Bay Resort & Spa Bodrum,"Deniz: muhteşem, sıfır dalga ve kum plaj, duşu ve soyunma kabini yeterli, çöpler sık toplanıyor. Havuz: yetişkinlerin de çocukların da aquaparkları yeterli, cankurtaranlar görevini titiz yapıyor. bir genel havuz dışında bir de aktivite … Devamı",,Google üzerinde 3 hafta önce,4/5
Green Bay Resort & Spa Bodrum,"15-20 temmuz aralığında konakladim. Daha önce 15-20 otelde kalmis biri olarak;
1) odaların hijyeni,temizliği gerçekten süperdi. Bu temizlik için ""Ümmühan"" hanıma tesekkur ederim.. … Devamı",,Google üzerinde bir ay önce,5/5
Green Bay Resort & Spa Bodrum,"REZERVASYONU OLANLAR OKUSUN;
Otelde ilk günümüz maalesef kalite yok. Balkon kapısı kapalı Odaların içi sivrisinek dolu, koridorlar da aynı. Hatta perde ve duvarlar öldürülmüş … Devamı",,Google üzerinde bir ay önce,1/5
Green Bay Resort & Spa Bodrum,Harika bir konaklama deneyimi yaşadık. Özellikle otel müdürü Mehmet Bey'e ilgisi ve misafirperverliği için çok teşekkür ederiz. Oğlumun tuttuğu balığı mutfakta pişirtip bize servis ettirmesi bizim için unutulmaz ve çok ince bir jest oldu. … Devamı,,Google üzerinde 3 hafta önce,5/5
Green Bay Resort & Spa Bodrum,7-11 Haziran tarihlerinde bebeğimizle konakladığımız otelde güzel olan tek şey denizi ve personelin güleryüzlü oluşuydu. Temizlik konusunda korkunçlar odalar asla temizlenmiyor sadece yatağı toplayıp çıkıyorlar masanın üstü bile … Devamı,,Google üzerinde bir ay önce,1/5
Green Bay Resort & Spa Bodrum,"Balayı çifti olarak bu oteli büyük beklentilerle tercih ettik. Girişte, balayı çifti olduğumuz için yalnızca daha büyük ve geniş bir oda tahsis edildi. Bunun dışında ilk gün odaya bir şişe şarap ve kesilmemiş meyve tabağı bırakıldı. … Devamı",,Google üzerinde bir ay önce,2/5
Green Bay Resort & Spa Bodrum,Otelin en beğendiğim özelliği iki tane iskelesinin olmasıydı. Ana iskelede müzik çalıyor ve etkinlikler yapıldığı için biraz daha canlı. Ben kafa dinlemek istediğim için diğer iskeleyi tercih ettim sessiz sakindi ilk defa çift iskelesi olan … Devamı,,Google üzerinde bir ay önce,5/5
Green Bay Resort & Spa Bodrum,"25 - 31Temmuz arası konakladık. Otelin yeri çok güzel ve sakin, yeşil alan bol. Özellikle denizi çok güzeldi durgun ve temizdi, havuzlarda temizdi bakımlıydı. Ayrıca 16 yaş üstü havuzunun olması çok güzel biz orayı kullandık hep. Animasyon … Devamı",,Google üzerinde 3 hafta önce,5/5
Green Bay Resort & Spa Bodrum,Çok sıkıcı bir otel. Ta Ankara dan 3 aile geldik özellikle odalarımız yan yana olsun dedik ve geldiğimiz de hepimiz farklı yerler de odalar verdiler. Verdikleri odanın içerisinde yan odaya açılan bir kapı var ve bunu resepsiyona … Devamı,,Google üzerinde 4 hafta önce,1/5
Green Bay Resort & Spa Bodrum,"öncelikle şunu belirtiyim bu otel sözde 5 yıldızlı özde ise 3 yıldızı bile zor alacak bir otel.
herkes ona göre planını yapsın beklentisini ayarlasın, bir çok kez 5 yıldızlı hatta 4 yıldızlı otel deneyimim oldu hatta 3 yıldızlı ve apart otellerde de kaldım, fakat burası kadar hijyensiz, temizlik anlamında sınıfta kalan, yıldızına göre vasat lezzetsiz ve çeşit olmayan yemekleri olan bir hotel görmedim, odalara giden yerler halıflex ve üzerinde yürürken bile toz toprak kalkıyor, odalar eski küçük ve yapış yapış, buraya verilen puanlar sizi aldatmasın, bu puanları veren kişiler muhtemelen ya ilk defa ""5"" yıldızlı bir otelde kalıyor, ya da çoğu puan fake. çünkü burası 5i bırakın 3 yıldızı bile zor alacak bir otel, yemek konusu 4 gece konakladık, 4 gün boyunca boğaz yakan bi köfte yedim başka yiyecek bir şey yoktu desem yeridir, yani bi tane spagetti,bir tane çorba, 2-3 çeşitte diğer yemeklerden sulu et vs. bu kadar. ızgara bölümünde ise bayat somon, tavuk eti ve köfte çıkıyordu her gün.
tatlı ve mezeler bol gözüküyordu ama bir tane sütlü tatlı yapıp 3-5 farklı kombine ettikleri için göze çok geliyordu, ama asıl sıkıntı şuydu bütün tatlı mezelerin üstü sinek dolu onlarca sinek, yiyebilene afiyet olsun.
sinek demişken küçücük odalar, klima açıyosunuz camları kapatıyorsunuz klima üzerinize vurduğu için ve kilma odalara ekstra büyük kaldığı için sizi uyutmuyor kapatıyorsunuz 5 dk sonra sıcak basıyor,
cam açıyım derseniz ""sineklik"" hiçbir odada bulunmuyor ve 5 dk içinde 10larca sivrisinek odanızda sabah deli gibi sinek ısırıklarıyla uyanıyorsunuz.
hadi camları kapattın klimaya dayandın, bu seferde otelin içindeki holler full sivrisinek kaynıyor her kapıda en az 3-4 tane sivri sinek.
yani dışarıyı engelleyemiyorsun anlarım da koridorundakini de engellersin veya camlara sineklik takıp içeri girişini engellersin.
Bir diğer sorunda karınca, evet karınca, mobilyaların üstü sürekli karınca, gidip yetkiliye bildiriyorum çözüm önerisi şu;
ilaçlayalım ama yine çıkıyor, oda değiştirsek zemin kat odaları daha küçük.
odadaki tuvaletlerde havalandırma yok, gerisini siz düşünün :)
öte yandan snack ikramlar rezaletti anlatmaya bile gerek yok zaten çok dar bi snack ikram servisi var 2-3 çeşit bir şey. yani ben en son geçen sene kaldığım 4 yıldızlı otelde,
ki fiyatı buradan daha ucuzdu kalamar, karides, kokoreç gibi snackleri vardı, bunun dışında olanları saymıyorum bile.
bu otelin bir diğer vasat kalemi de malesefki alkoller, ülkenin en ucuz markası olan vodka ve cinini kullanıyorlar zaten başka bir şey var mıydı bilmiyorum bi ara tequila gördüm ama nasıldı bilmiyorum.
rakı filan hak getire.
denizi de öyle aman aman iyi değil altı toprak olduğu için bulanık, gün içi bazı saatler tekne atıklarından mı bilmiyorum 5-10 dk kirleniyor.
ama manzarası çok güzel, otel eğer güzel işletilse kalite ve temizliği artırsa gerçekten konum olarak türkiyenin en güzel 10 otelinden biri olabilir öyle bi potansiyeli var, ama şuanki durumunda
kaderine terk edilmiş gibi bir izlenim veriyor.
bir diğer olayda ets tur yetkilisi, biz ailecek zaten dayanamadık artık son gün erken çıktık sabahı beklemeden, içlerine mi doğdu ne oldu bilmiyorum, birden aramaya başladılar nasıl geçiyor tatil diye,
yahu tatil bitti ne tatili, zaten 4 gece kalmışım 4. gece arıyosun beni bu kadar ilgi fazla değil mi çok teşekkürler. Nerede eski ets tur otele girmeden daha ilgilenirlerdi ararlardı sorarlardı, her gün en az bir kere sorarlardı bi sıkıntı var mı sorun var mı,
eğer varsa da gerçekten otele yaptırım güçleri olurdu ve o sorunu net şekilde çözerlerdi.
uzun lafın kısası kendi adıma şöyle söyliyim zamanında çok kamp yaptım, bu oteli ancak kamp alanlarıyla vs kıyaslayabilirim ki gerçekten buradan daha iyi kamp alanları bile var.","Odalar1,0Hizmet1,0Konum5,0
Odalarküçük, sineklik yok, pis, karıncalar var.
Yiyecek ve içeceklerçok kötü, lezzetsiz, çeşit yok, her yer sinek yemeklerin mezelerin üstü vs.
Önemli ayrıntılarEğer daha önce lüx 5 yıldızlı otellerde konakladıysanız, burayı 5 yıldız değil 2-3 yıldızlı kötü olan bir otel olarak düşünün.",Google üzerinde bir ay önce,1/5
Green Bay Resort & Spa Bodrum,"Deniz: muhteşem, sıfır dalga ve kum plaj, duşu ve soyunma kabini yeterli, çöpler sık toplanıyor. Havuz: yetişkinlerin de çocukların da aquaparkları yeterli, cankurtaranlar görevini titiz yapıyor. bir genel havuz dışında bir de aktivite yapılan yetişkin havuzu var. Odalar: sabah çıkıp akşam gelenler için gayet yeterli, temizlik de gayet iyi, balkon kapısına sineklik takılabilir ama çok ciddi sıkıntı yaşamadık, balkon havlu ve mayo asmak için yeterli. Hizmet: her şey self servis, kokteyllerin çoğu kötü, gündüz aktiviteleri fena değil ama akşam eğlenceleri oldukça zayıf. Yemek: çok lezzetli olarak tanımlayabileceğim hiçbir şey yok ama aç da kalmadık, servis saatleri de yeterliydi, sadece tatilde en çok talep gören gözleme & dondurma & waffle üçlüsünün bir arada olup tek bir personele verilmesi uygun olmamış çünkü oraya hangi personel geçse yetişmekte zorlanması çok normal ve bunun da müşterilerde gerginlik yaratması doğal. Genel olarak tam bir f/p oteli, tekrar gelinir.","Odalar3,0Hizmet3,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara · Çocuklar için uygun",Google üzerinde 3 hafta önce,4/5
Green Bay Resort & Spa Bodrum,"15-20 temmuz aralığında konakladim. Daha önce 15-20 otelde kalmis biri olarak;
1) odaların hijyeni,temizliği gerçekten süperdi. Bu temizlik için ""Ümmühan"" hanıma tesekkur ederim..
2) yemekler yeterince iyiydi kesinlikle ac kalmazsınız ve lezzetleri de gayet iyiydi.. daha önceki yorumlarda ac kaldık, midemiz kötü oldu vs vs yazanlara hiç inanamadım. midye dolma, deniz mahsulleri salatası, ıstakoz, akya gibi yiyecekler bile çıkmıştı. Ama tek noksan diyebilecegim oglen yemekleri biraz zayifti. Yemekhanede canla başla calisan, masaların arasında pire gibi gezen tum çalışanlara ve ""Rana hanima"" çok teşekkürler..
3) bar kismi bence çok iyiydi. Barda calisan tum çalışanlara ayri ayri verdikleri hizmetten dolayı teşekkür ederim.
4) ust kısımdaki havuzun oradaki cevre düzenlemesi ve temizliğinden sorumlu ""velittin bey""e çok tesekkurler.
*) Denizi temiz ama aksam aktintiyla kıyıda pislik birikmesi olabiliyor. Çocuklu aileler icin kumsal olması ve biranda derinlesmemesi artı olarak söylenebilir.
*) snack bar da bir menü var ve sipariş vererek yemek söylüyorsunuz. İlk başta çok tuhaf gelmisti ama şunu anladım ki sipariş usulü calisilinca yemeklerin lezzeti ve kalitesi mukemmel oluyor. Fettucini alfredo makarnayı yemenizi kesinlikle tavsiye ederim..
*) animasyon ekibi gençlerden oluşuyor ve bence en zayıf halkası buydu.
Herseyden sorumlu genel müdürü (galiba mehmet beydi) hiç boş dururken görmedim. Sürekli kısımlar arasinda geziyor, kontrol ediyor, konuşuyor... gerçekten tebrik ederim... helal olsun..
Genel olarak tekrardan gitmeyi dusunebilecegim bir otel.","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarLüks · Muhteşem manzara · Çocuklar için uygun",Google üzerinde bir ay önce,5/5
