otel_adi,yorum,hizmet,tarih
Green Bay Resort & Spa Bodrum,"öncelikle şunu belirtiyim bu otel sözde 5 yıldızlı özde ise 3 yıldızı bile zor alacak bir otel.
herkes ona göre planını yapsın beklentisini ayarlasın, bir çok kez 5 yıldızlı … Devamı",,Google üzerinde bir ay önce
Green Bay Resort & Spa Bodrum,"Deniz: muhteşem, sıfır dalga ve kum plaj, duşu ve soyunma kabini yeterli, çöpler sık toplanıyor. Havuz: yetişkinlerin de çocukların da aquaparkları yeterli, cankurtaranlar görevini titiz yapıyor. bir genel havuz dışında bir de aktivite … Devamı",,Google üzerinde 3 hafta önce
Green Bay Resort & Spa Bodrum,"15-20 temmuz aralığında konakladim. Daha önce 15-20 otelde kalmis biri olarak;
1) odaların hijyeni,temizliği gerçekten süperdi. Bu temizlik için ""Ümmühan"" hanıma tesekkur ederim.. … Devamı",,Google üzerinde bir ay önce
Green Bay Resort & Spa Bodrum,"REZERVASYONU OLANLAR OKUSUN;
Otelde ilk günümüz maalesef kalite yok. Balkon kapısı kapalı Odaların içi sivrisinek dolu, koridorlar da aynı. Hatta perde ve duvarlar öldürülmüş … Devamı",,Google üzerinde bir ay önce
Green Bay Resort & Spa Bodrum,Harika bir konaklama deneyimi yaşadık. Özellikle otel müdürü Mehmet Bey'e ilgisi ve misafirperverliği için çok teşekkür ederiz. Oğlumun tuttuğu balığı mutfakta pişirtip bize servis ettirmesi bizim için unutulmaz ve çok ince bir jest oldu. … Devamı,,Google üzerinde 3 hafta önce
Green Bay Resort & Spa Bodrum,7-11 Haziran tarihlerinde bebeğimizle konakladığımız otelde güzel olan tek şey denizi ve personelin güleryüzlü oluşuydu. Temizlik konusunda korkunçlar odalar asla temizlenmiyor sadece yatağı toplayıp çıkıyorlar masanın üstü bile … Devamı,,Google üzerinde bir ay önce
Green Bay Resort & Spa Bodrum,"Balayı çifti olarak bu oteli büyük beklentilerle tercih ettik. Girişte, balayı çifti olduğumuz için yalnızca daha büyük ve geniş bir oda tahsis edildi. Bunun dışında ilk gün odaya bir şişe şarap ve kesilmemiş meyve tabağı bırakıldı. … Devamı",,Google üzerinde bir ay önce
Green Bay Resort & Spa Bodrum,Otelin en beğendiğim özelliği iki tane iskelesinin olmasıydı. Ana iskelede müzik çalıyor ve etkinlikler yapıldığı için biraz daha canlı. Ben kafa dinlemek istediğim için diğer iskeleyi tercih ettim sessiz sakindi ilk defa çift iskelesi olan … Devamı,,Google üzerinde bir ay önce
Green Bay Resort & Spa Bodrum,"25 - 31Temmuz arası konakladık. Otelin yeri çok güzel ve sakin, yeşil alan bol. Özellikle denizi çok güzeldi durgun ve temizdi, havuzlarda temizdi bakımlıydı. Ayrıca 16 yaş üstü havuzunun olması çok güzel biz orayı kullandık hep. Animasyon … Devamı",,Google üzerinde 3 hafta önce
Green Bay Resort & Spa Bodrum,Çok sıkıcı bir otel. Ta Ankara dan 3 aile geldik özellikle odalarımız yan yana olsun dedik ve geldiğimiz de hepimiz farklı yerler de odalar verdiler. Verdikleri odanın içerisinde yan odaya açılan bir kapı var ve bunu resepsiyona … Devamı,,Google üzerinde 4 hafta önce
